 Mes  ,Inicio,Fin,Dias,Modelo,Color,Numero de Leads ,Leads por Dia,Ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Mayo ,5/10/2025,6/9/2025,31,Emzoom R,Gris magnetico,130, 4 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junio ,6/10/2025,6/16/2025,7,GS8,Gris,24, 3 ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/17/2025,7/9/2025,23,Emkoo  ,Blanco ,92, 4 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio,7/10/2025,7/10/2025,1,Emzoom R,Gris magnetico,0, -   ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/11/2025,7/20/2025,10,GS8,Plata Iridio,33, 3 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/21/2025,7/27/2025,7,GS8,Plata Iridio,25, 4 ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/28/2025,8/6/2025,10,Emzoom R,Gris grafeno mate,34, 3 ,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agosto,8/7/2025,8/12/2025,6,EMKOO HEV,Gris,16, 3 ,15,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/13/2025,9/9/2025,28,Emzoom R,Blanco ,32, 1 ,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Septiembre ,9/10/2025,10/2/2025,23,Emzoom  ,Azul ,40, 2 ,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/25/2025,10/2/2025,8,Emkoo  GL,Blanco,10, 1 ,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octubre,10/3/2025,10/15/2025,13,GS8,Blanco,32, 2 ,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/16/2025,11/3/2025,19,GS4 ,Blanco,25, 1 ,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noviembre,11/4/2025,11/26/2025,23,Emkoo  GL,Blanco ,47, 2 ,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/27/2025,12/11/2025,15,GS8  ,Negro,34, 2 ,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diciembre ,12/12/2025,12/24/2025,13,GS4,Blanco ,41, 3 ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/25/2025,1/14/2026,21,Emkoo ,Plata polar,52, 2 ,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enero,1/15/2026,1/19/2026,5,Emzom,Rojo,14, 3 ,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/20/2026,1/23/2026,4,Hyptech HT Ultra,Blanco,16, 4 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Febrero,1/24/2026,2/13/2026,21,GS4 GB,Blanco Metalico,9, 0 ,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14/2026,3/10/2026,25,Emkoo,Blanco,68, 3 ,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzo,3/11/2026,4/23/2026,44,Emkoo,Plata polar,, -   ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abril,4/24/2026,4/30/2026,7,Emkoo,Gris magnetico,33, 5 ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayo,5/1/2026,5/7/2026,7,AION UT,Blanco ,22, 3 ,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2026,5/16/2026,9,GS8,Blanco,49, 5 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/17/2026,6/5/2026,20,Emzoom,Negro,, -   ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junio ,6/6/2026,6/26/2026,21,Emzoom,Plata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/27/2026,7/8/2026,12,GS4 ,Negro ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julio ,7/9/2026,,,GS4 ,Gris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comportamiento de Unidades en Plaza Pachuca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes ,Inicio,Fin,Dias,Modelo,Color,Numero de Leads ,Leads por Dia,Ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enero ,1/11/2026,1/19/2026,9,Emzoom,Plata polar,21, 2 ,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/20/2026,1/21/2026,2,GS4,Negro,3, 2 ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/22/2026,2/6/2026,16,GS8,Gris,125, 8 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Febrero,2/7/2026,3/30/2026,52,Emkoo,Blanca ,139, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzo,3/31/2026,4/7/2026,8,GS8 ,Blanca ,32, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abril,4/8/2026,4/21/2026,14,GS4,Negro,27, 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/22/2026,4/28/2026,7,Emzoom,Gris magnetico,19, 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
