INDICADORES GENERALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025,,,,,,,,,,,,2026 /certificación de marca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento ,0%,0%,0%,0%,0%,0%,96%,96%,96%,96%,96%,96%,93%,93%,93%,93%,93%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,98%,102%,105%,110%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indicador,Enero,Febrero,Marzo,Abril,Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantilla,37,40,42,44,44,41.4,,,UB X COLABORADOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operando,33,37,38,40,40,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento de plantilla,89%,93%,90%,91%,91%,0.907967123,,,Iteam,Enero ,,,,,,,,Febrero,,,,,,,,Marzo,,,,,,,,Abril,,,,,,,,Mayo ,,,,,,,,Junio ,,,,,,,
Bajas,3,0,0,2,0,1,,,,Obj UN ,UN Real ,Obj UB,UB Real ,Plantilla Obj ,Plantilla Real ,Obj  UB / CL,Real UB / CL,Obj UN ,UN Real ,Obj UB,UB Real ,Plantilla Obj ,Plantilla Real ,Obj  UB / CL,Real UB / CL,Obj UN ,UN Real ,Obj UB,UB Real ,Plantilla Obj ,Plantilla Real ,Obj  UB / CL,Real UB / CL,Obj UN ,UN Real ,Obj UB,UB Real ,Plantilla Obj ,Plantilla Real ,Obj  UB / CL,Real UB / CL,Obj UN ,UN Real ,Obj UB,UB Real ,Plantilla Obj ,Plantilla Real ,Obj  UB / CL,Real UB / CL,Obj UN ,UN Real ,Obj UB,UB Real ,Plantilla Obj ,Plantilla Real ,Obj  UB / CL,Real UB / CL
Vacantes,4,3,4,4,4,3.8,,NUEVOS ,GAC,"$851,125","$444,580","$1,872,000","$1,339,606",16,12,"$117,000","$111,634","$701,365","$1,333,025","$1,680,000","$1,893,987",16,15,"$105,000","$126,266","$813,685","$1,381,175","$1,824,000","$1,484,145",16,16,"$114,000","$92,759","$738,805","$1,347,730","$1,728,000","$1,610,407",16,16,"$108,000","$100,650","$926,005","$850,931","$1,968,000","$1,552,489",18,14,"$109,333","$110,892","$1,075,765","$1,401,984","$2,160,000","$1,895,046",18,14,$0,$0
Índice de Rotación,8%,0%,0%,5%,0%,0.025307125,,SERVICIO,GAC,"-$9,788","$73,679","$224,860","$134,585",4,4,"$56,215","$33,646","-$10,970","$86,933","$202,374","$120,026",4,4,"$50,594","$30,007","-$1,301","$108,163","$224,860","$182,709",4,4,"$56,215","$45,677","-$1,301","$54,451","$224,860","$171,497",4,4,"$56,215","$42,874","-$1,301","$28,693","$224,860","$179,895",4,4,"$56,215","$44,974","-$1,301","$100,230","$224,860","$220,587",4,4,"$56,215","$55,147"
Capacitación de Marca,20%,33%,47%,72%,89%,0.522,,REFACCIONES ,GAC,$895,"$16,589","$15,305","$22,766",1,1,"$15,305","$22,766","$1,555","$27,043","$14,736","$26,203",1,1,"$14,736","$26,203","$2,289","$15,310","$16,444","$21,758",1,1,"$16,444","$21,758","$2,616","$26,921","$17,203","$34,230",1,1,"$17,203","$34,230","$1,212,012","$7,636","$18,341","$14,086",1,1,"$18,341","$14,086","$3,187","$15,873","$18,531","$19,854",1,1,"$18,531","$19,854"
Indice de clima laboral,4.3,4.3,4.3,4.3,4,4.24,,HYP ,GAC,"$8,395","$106,239","$37,925","$110,456",3,3,"$12,642","$36,819","$7,836","$82,618","$34,132","$80,590",3,3,"$11,377","$26,863","$9,827","$24,245","$37,925","$30,688",3,3,"$12,642","$10,229","$9,827","$48,021","$37,925","$55,872",3,3,"$12,642","$18,624","$9,827","$75,061","$37,925","$84,854",3,3,"$12,642","$28,285","$9,827","$59,084","$37,925","$67,607",3,3,"$12,642","$22,536"
Productividad de APVS,91%,67%,71%,74%,82%,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Apvs que cumplieron con su objetivo de ventas,64%,47%,47%,50%,33%,0.482666667,,Acumulado ,Iteam,Acumulado todos los departamentos  Ene - Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditoría Salesforce,,86%,83%,95%,95%,0.718,,,,Obj UN ,UN Real ,Obj UB,UB Real ,Plantilla Obj ,Plantilla Real ,Obj  UB / CL,Real UB / CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apvs oro,4,4,4,0,0,2.4,,,GAC,"$5,149,975","$7,716,213","$12,882,986","$11,353,943",34,31,"$378,911","$366,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apvs plata,3,3,3,5,5,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avps bronce,7,8,9,9,8,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indefinidos (Contrato >3 Meses),29,30,37,36,35,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantilla con permanencia,88%,81%,97%,90%,88%,0.88765658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
